Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
13841084497,"Mar 10, 2025, 9:20:01 AM",Leg Day,Run,,4008,10.00,,,false,,,activities/13841084497.gpx,,,4008.0,3675.0,10006.2,9.76,2.723,112.9,112.9,24.5,40.2,7.6,0.0,,,,,,,,,786.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,10154.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.497,132.8,,,,,,,,,2.763,,,,,,,,""
13851324878,"Mar 11, 2025, 11:24:18 AM",Evening Run,Run,,1992,5.04,,,false,,,activities/13851324878.gpx,,,1992.0,1887.0,5043.5,9.34,2.673,52.6,52.6,25.0,40.2,8.0,0.0,,,,,,,,,395.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5099.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.532,44.3,,,,,,,,,2.702,,,,,,,,""
13859988563,"Mar 12, 2025, 9:14:16 AM",Afternoon Run,Run,,1753,5.02,,,false,,,activities/13859988563.gpx,,,1753.0,1529.0,5022.0,12.683,3.284,55.2,55.2,25.3,40.2,9.1,0.1,,,,,,,,,396.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5110.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.865,0.0,,,,,,,,,3.343,,,,,,,,""
13871533491,"Mar 13, 2025, 1:24:27 PM",Night Run,Run,"",2634,5.57,,,false,,,activities/13871533491.gpx,,,2634.0,2108.0,5574.0,12.75,2.644,97.4,97.4,12.3,21.4,34.6,0.0,,,,,,,,,468.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,6043.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.116,0.0,,,,,,,,,2.867,,,,,,,,""
13897814400,"Mar 16, 2025, 11:51:02 AM",Evening Run,Run,"",2001,5.04,,,false,,,activities/13897814400.gpx,,,2001.0,1396.0,5045.1,14.436,3.614,29.9,29.9,30.5,44.4,23.0,0.0,,,,,,,,,395.0,,,,,,,,,,,,,,,,0.0,,1.0,5103.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.521,254.2,,,,4278.0,,,,,3.656,,,,,,,,""
13914352096,"Mar 18, 2025, 9:09:05 AM",sub 30,Run,"",1718,5.02,,,false,,,activities/13914352096.gpx,,,1718.0,1619.0,5022.6,10.88,3.102,79.0,79.0,25.3,65.0,14.5,0.2,,,,,,,,,400.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5165.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.924,925.6,,,,,,,,,3.191,,,,,,,,""
13926213429,"Mar 19, 2025, 12:50:02 PM",Evening Run,Run,"",2027,5.04,,,false,,,activities/13926213429.gpx,,,2027.0,1701.0,5047.3,11.913,2.967,47.4,47.4,23.3,40.2,11.2,-0.1,,,,,,,,,394.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5087.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.49,0.0,,,,,,,,,2.991,,,,,,,,""
13934790635,"Mar 20, 2025, 10:42:33 AM",Evening Run,Run,"",2423,5.28,,,false,,,activities/13934790635.gpx,,,2423.0,1722.0,5283.6,13.09,3.068,55.5,55.5,25.0,40.2,20.3,0.0,,,,,,,,,413.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5339.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.181,508.7,,,,,,,,,3.101,,,,,,,,""
13971090577,"Mar 24, 2025, 8:41:36 AM",10km Cardio,Run,"",3710,10.03,,,false,,,activities/13971090577.gpx,,,3710.0,3454.0,10036.8,12.54,2.906,121.5,121.5,25.2,65.0,10.3,0.0,,,,,,,,,791.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,10213.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.705,954.6,,,,,,,,,2.957,,,,,,,,""
14010552601,"Mar 28, 2025, 11:41:51 AM",Evening Run,Run,"",3252,6.64,,,false,,,activities/14010552601.gpx,,,3252.0,2644.0,6646.9,11.48,2.514,74.6,74.6,21.3,40.2,12.6,0.0,,,,,,,,,523.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,6757.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.044,1095.6,,,,,,,,,2.556,,,,,,,,""
